	1624IL6_H	1624Med_H	1784IL6_H	1784Med_H	2600IL6_H	2600Med_H	630IL6_H	630Med_H	952IL6_H	952Med_H	906IL6_K	906Med_K	1177IL6_K	1177Med_K	1540IL6_K	1540Med_K	1732IL6_K	1732Med_K	1980IL6_K	1980Med_K
ENSG00000000003	5.376669106	5.429212629	5.308091755	5.383442963	5.520419799	5.306928777	5.715840242	5.718526646	5.460930292	5.527396356	5.643623483	5.719693683	5.61107292	5.511740225	5.650112901	5.706157258	5.800543969	5.726960932	5.563557495	5.529551252
ENSG00000000419	4.153561235	4.143420994	4.165533948	4.163700996	4.289946192	3.996593332	4.201404407	4.250209831	4.10182958	4.239551657	4.395128454	4.111084756	4.206471994	3.841839527	4.39315244	4.279573328	3.935731329	3.876959521	4.155946688	4.256841592
ENSG00000000457	3.934042582	3.71608311	4.036755593	3.599660391	3.568347835	3.640957253	3.727555381	3.750914373	4.009315312	3.955692616	4.031628813	3.954643713	4.089499601	3.943454838	3.851829409	3.887062439	4.123579492	4.087258647	4.034421768	3.94330904
ENSG00000000460	2.748741649	2.548079468	2.534891372	3.22135532	3.090793169	2.626478565	2.68132543	2.713593268	3.310048003	2.872289347	2.846053913	2.928316916	3.466190152	3.010879749	3.08933866	2.797212472	3.203021978	2.77673742	3.091053517	3.005684885
ENSG00000000971	8.267013103	8.106356553	7.991445408	7.865633851	7.840176525	7.806412052	7.009755426	7.267634736	8.944620871	8.902275794	7.81077036	7.653742831	8.903207956	8.72644662	8.279344992	8.318380614	8.114032396	8.038180803	8.263960235	8.207934963
ENSG00000001036	6.63405803	6.637419222	6.457622085	6.495228391	6.501023678	6.464288718	6.411805751	6.449485532	6.228318371	6.28194366	6.015151973	6.023051391	6.147426808	6.231350662	6.096559574	6.147960089	6.102199139	6.203887313	6.243416755	6.330919671
ENSG00000001084	4.726550205	4.698220598	4.830527926	4.580704865	5.032573365	5.047082685	5.261835964	5.229326994	4.695736056	4.589248091	5.012930647	5.126820453	4.777175404	4.644517715	5.112322236	5.260331623	4.386345508	4.389787389	5.147305218	5.244350811
ENSG00000001167	4.547938426	4.583217591	4.678491015	4.336350535	4.73071184	4.736026858	4.518335945	4.727383631	4.545708277	4.239551657	4.855771155	4.854105861	4.437573312	4.703644395	4.722496784	4.652701046	4.943910422	4.920187482	4.553118429	4.521600241
ENSG00000001460	3.242096564	3.344566648	3.165051294	3.71792614	2.629871376	3.369814918	3.193350484	3.573381093	3.340745972	3.61619944	2.927303053	3.152956323	3.231534073	3.471835157	2.914783817	3.131125564	3.092840409	3.507409037	3.014011397	3.219594203
ENSG00000001461	5.396358741	5.603272809	5.576467292	5.63866759	4.747131044	5.032280251	5.012197295	5.237865893	5.450412329	5.670792679	5.232632008	5.236596513	5.513151164	5.589039937	5.404298274	5.572294562	5.031852945	5.248859411	5.658372008	5.638333323
ENSG00000001497	4.751226528	4.368482708	4.542802574	4.688932538	4.784731078	4.699015672	4.498346837	4.594065592	4.498840892	4.44506112	4.661675849	4.554346596	4.577802031	4.582863877	4.527305087	4.575697071	4.602814407	4.629028329	4.7321505	4.842319102
ENSG00000001561	2.356919675	2.463895467	2.534891372	2.374074234	2.743346052	2.399227442	1.838532062	2.039125006	2.815260539	2.722308064	3.213053874	3.493460423	3.856012815	3.674589875	2.513260443	2.389926833	2.611993569	2.499298072	3.216706268	3.405844058
ENSG00000001617	4.781489984	5.083903929	5.877095378	6.144466721	5.348145371	5.824909794	4.894770906	5.104151183	5.414788103	5.711172354	5.423255492	5.147045965	5.894676349	6.211117167	5.13904158	5.162449004	5.208303513	5.180796606	5.447494985	5.431531149
ENSG00000001629	6.66035338	6.667528398	6.715272617	6.73851374	6.609770065	6.6502801	6.554154385	6.614313818	6.942117163	6.887779377	6.77145929	6.927882134	6.943555627	6.912156413	6.682297631	6.757860368	7.14601333	7.181781084	6.817140053	6.829832798
ENSG00000001630	2.866357641	2.864946136	2.450737447	2.562910301	2.965421033	2.776133643	2.557997118	2.612153605	2.677749172	1.842714453	2.644559552	1.912489263	2.068496215	2.626935291	2.177483967	2.417346388	2.250734613	2.499298072	2.706463775	2.480512768
ENSG00000001631	5.261147184	5.161677142	5.161369298	5.014267477	5.135943424	5.282117755	4.721672875	4.887904326	5.246663745	5.231398108	5.158851081	5.2738623	5.441525379	5.339760251	5.057351532	5.174551641	5.292609668	5.570571463	5.255855155	5.22197082
ENSG00000002016	3.056558969	3.435784876	2.784488011	3.373268911	2.223479581	3.055296361	2.478600011	2.737876637	3.180274889	3.658113998	2.866799187	3.68269224	2.991838408	3.416358632	3.211858821	3.520612582	2.493090364	2.975899188	2.551525022	3.324152109
ENSG00000002330	6.043998753	5.969171793	5.866307717	6.121044307	5.923385744	5.971780922	6.359208086	6.254978173	5.96815273	6.088585726	5.802808102	5.783100693	5.513151164	5.838929532	5.763212356	5.725481187	5.820436628	5.754332239	5.73838464	5.939271682
ENSG00000002549	6.450356554	5.866347227	5.998153517	5.756667343	5.776484617	5.667773477	6.249878963	5.944004677	5.987682013	5.579221944	6.126863766	5.686913566	5.733083268	5.647427398	6.305590497	5.985717191	5.720760031	5.536578049	6.191880473	5.785995118
